Change Physical Footprint: Designator=1 Old Footprint=BAT_1043 New Footprint=BAT_1043
Change Physical Footprint: Designator=Amplifier1 Old Footprint=DGK0008A_M New Footprint=DGK0008A_M
Change Physical Footprint: Designator=BOOT2 Old Footprint=SW_4-1437565-2 New Footprint=SW_4-1437565-2
Change Physical Footprint: Designator=C Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=C1 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C2 Old Footprint=CAPC1608X90X35NL10T15 New Footprint=CAPC1608X90X35NL10T15
Change Physical Footprint: Designator=C3 Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=C4 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C5 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C6 Old Footprint=WCAP-CSGP_0805_L2W1.25H1.25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Physical Footprint: Designator=C7 Old Footprint=WCAP-CSGP_0805_L2W1.25H1.25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Physical Footprint: Designator=C8 Old Footprint=WCAP-CSGP_0805_L2W1.25H1.25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Physical Footprint: Designator=C9 Old Footprint=WCAP-CSGP_0805_L2W1.25H1.25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Physical Footprint: Designator=C10 Old Footprint=CAPC1608X90X35NL10T15 New Footprint=CAPC1608X90X35NL10T15
Change Physical Footprint: Designator=C11 Old Footprint=CAPC1608X90X35NL10T15 New Footprint=CAPC1608X90X35NL10T15
Change Physical Footprint: Designator=C12 Old Footprint=WCAP-CSGP_0805_L2W1.25H1.25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Physical Footprint: Designator=C13 Old Footprint=WCAP-CSGP_0805_L2W1.25H1.25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Physical Footprint: Designator=C14 Old Footprint=WCAP-CSGP_0805_L2W1.25H1.25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Physical Footprint: Designator=C15 Old Footprint=WCAP-CSGP_0805_L2W1.25H1.25 New Footprint=WCAP-CSGP_0805_L2W1.25H1.25
Change Physical Footprint: Designator=C16 Old Footprint=CAPC1608X90X35NL10T15 New Footprint=CAPC1608X90X35NL10T15
Change Physical Footprint: Designator=C17 Old Footprint=CAPC1608X90N New Footprint=CAPC1608X90N
Change Physical Footprint: Designator=C18 Old Footprint=CAPC1608X90X35NL10T15 New Footprint=CAPC1608X90X35NL10T15
Change Physical Footprint: Designator=C19 Old Footprint=CAPC1608X90X35NL10T15 New Footprint=CAPC1608X90X35NL10T15
Change Physical Footprint: Designator=C20 Old Footprint=WCAP-CSGP_0402_L1W0.5H0.5 New Footprint=WCAP-CSGP_0402_L1W0.5H0.5
Change Physical Footprint: Designator=C21 Old Footprint=WCAP-CSGP_0402_L1W0.5H0.5 New Footprint=WCAP-CSGP_0402_L1W0.5H0.5
Change Physical Footprint: Designator=C22 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C23 Old Footprint=CAPC1608X90X35NL10T15 New Footprint=CAPC1608X90X35NL10T15
Change Physical Footprint: Designator=C24 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=C25 Old Footprint=CAPC2012X88N New Footprint=CAPC2012X88N
Change Physical Footprint: Designator=Connector1 Old Footprint=JST_B2B-XH-A New Footprint=JST_B2B-XH-A
Change Physical Footprint: Designator=D1 Old Footprint=SOD3715X145N New Footprint=SOD3715X145N
Change Physical Footprint: Designator=D2 Old Footprint=TVS_LESD5D5.0CT1G New Footprint=TVS_LESD5D5.0CT1G
Change Physical Footprint: Designator=D3 Old Footprint=TVS_LESD5D5.0CT1G New Footprint=TVS_LESD5D5.0CT1G
